,Rv,Mean_Radius,Std_Radius,Mean_Tau_Radius
0,15.0,19.135423222181366,13.962576191400597,31.29144026493351
1,18.0,20.15500046339714,14.045983235928272,31.903474182025203
2,21.0,21.058918225597495,14.537440442734672,33.23283223212423
3,24.0,22.989672100963794,15.360526818359373,35.49110177783085
4,27.0,24.748263976767646,16.054422774839406,37.568798925126366
5,30.0,26.78600010713511,16.555307846370937,39.31798064123472
6,33.0,29.27798383509758,17.247598684219685,41.9851164389376
7,36.0,32.14290845242372,17.741344394476783,44.59860114924658
8,39.0,34.58722630661075,17.97922345063039,46.497231340546605
9,42.0,37.44615531523622,18.466919049980277,49.18995293869855
10,45.0,40.850585504514726,18.62338210061494,51.86039779046695
11,48.0,43.382056641907745,18.497576728121476,53.83151567799777
12,51.0,46.6562131213042,18.920285254675957,57.29747451118156
13,54.0,48.78549593799655,18.921881789126157,59.20782646887521
14,57.0,52.20253333679089,19.007260809325697,62.43334227868578
