Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,327.3511,808.1499,6.7500,157.000
1,327.3511,808.1499,17.4389,171.889
2,327.3511,808.1499,4.9667,161.667
3,327.3511,808.1499,9.3889,163.889
4,327.3511,808.1499,3.9778,160.778
5,327.3511,808.1499,2.3667,157.667
6,327.3511,808.1499,-0.2833,158.667
7,327.3511,808.1499,9.8444,162.444
8,327.3511,808.1499,-1.5944,157.556
9,327.3511,808.1499,9.4611,162.111
10,327.3511,808.1499,18.6389,166.889
11,327.3511,808.1499,12.4667,163.667
12,327.3511,808.1499,6.5000,163.000
13,327.3511,808.1499,16.1444,167.444
14,327.3511,808.1499,22.3278,167.778
15,327.3511,808.1499,6.2667,159.667
16,327.3511,808.1499,11.1278,163.778
17,327.3511,808.1499,3.4500,159.000
18,327.3511,808.1499,9.2667,156.667
19,327.3511,808.1499,1.0222,152.222
20,327.3511,808.1499,-2.8278,156.222
21,327.3511,808.1499,6.2889,160.889
22,327.3511,808.1499,10.6222,164.222
23,327.3511,808.1499,6.9500,159.000
24,327.3511,808.1499,8.2333,158.333
25,327.3511,808.1499,11.0333,163.333
26,327.3511,808.1499,-0.2167,150.333
27,327.3511,808.1499,14.8111,171.111
28,327.3511,808.1499,16.1778,160.778
29,327.3511,808.1499,8.3333,162.333
30,327.3511,808.1499,10.9556,161.556
31,327.3511,808.1499,6.1000,157.000
32,327.3511,808.1499,0.1778,153.778
33,327.3511,808.1499,10.1722,157.222
34,327.3511,808.1499,15.5889,163.889
35,327.3511,808.1499,10.4833,157.333
36,327.3511,808.1499,9.7444,161.444
37,327.3511,808.1499,21.1833,167.333
38,327.3511,808.1499,8.6222,164.222
39,327.3511,808.1499,6.1333,156.333
40,327.3511,808.1499,18.1222,170.222
41,327.3511,808.1499,14.8056,164.556
42,327.3511,808.1499,2.7833,156.333
43,327.3511,808.1499,14.7778,162.778
44,327.3511,808.1499,10.4278,162.778
45,327.3511,808.1499,6.9667,157.667
46,327.3511,808.1499,9.9000,160.000
47,327.3511,808.1499,5.7222,155.222
48,327.3511,808.1499,9.8389,157.889
49,327.3511,808.1499,1.9167,151.667
50,327.3511,808.1499,8.7278,161.778
51,327.3511,808.1499,9.1000,160.000
52,327.3511,808.1499,14.9778,163.778
53,327.3511,808.1499,12.4444,159.444
54,327.3511,808.1499,2.6944,154.444
55,327.3511,808.1499,8.5444,160.444
56,327.3511,808.1499,15.7556,158.556
57,327.3511,808.1499,9.2889,159.889
58,327.3511,808.1499,7.5556,155.556
59,327.3511,808.1499,3.3278,154.778
60,327.3511,808.1499,11.0000,162.000
61,327.3511,808.1499,15.8944,163.444
62,327.3511,808.1499,15.4000,165.000
63,327.3511,808.1499,16.4444,167.444
64,327.3511,808.1499,12.2778,161.778
65,327.3511,808.1499,5.3611,157.111
66,327.3511,808.1499,17.2167,170.667
67,327.3511,808.1499,16.1500,164.000
68,327.3511,808.1499,18.7611,170.111
69,327.3511,808.1499,9.1500,163.000
70,327.3511,808.1499,8.6278,158.778
71,327.3511,808.1499,22.0000,166.000
72,327.3511,808.1499,20.9667,172.667
73,327.3511,808.1499,18.0833,172.333
74,327.3511,808.1499,11.8333,163.333
75,327.3511,808.1499,24.7389,168.889
76,327.3779,808.1713,18.5444,170.444
77,327.3836,808.1929,12.7278,168.778
78,327.3562,808.2155,21.0889,166.889
79,327.3453,808.1852,15.8611,168.111
80,327.3989,808.1521,18.5889,166.889
81,327.4634,808.1437,21.9444,174.444
82,327.5296,808.0862,14.4667,168.667
83,327.5565,808.1009,22.1389,168.889
84,327.5685,808.1206,11.4000,161.000
85,327.5306,808.1470,16.6333,170.333
86,327.5241,808.1865,9.0611,164.111
87,327.5219,808.2389,26.1278,173.778
88,327.5511,808.3029,23.7000,172.000
89,327.5665,808.3549,19.1056,170.556
90,327.5694,808.4265,15.4278,166.778
91,327.5593,808.4728,15.7722,170.222
92,327.5312,808.4983,19.1944,167.444
93,328.0000,808.0000,24.3889,177.889
94,327.5295,808.4708,17.4111,173.111
95,327.5801,808.3631,20.6722,174.222
96,327.6263,808.2565,14.9722,166.222
97,327.6325,808.2399,23.0278,171.778
98,327.6271,808.2990,20.6556,168.556
