Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
287.3333,287.3333,287.3333,49.7833,39.2833,39.2833,7.2844,7.2844,7.2844,8.8089,8.1538,8.1538,0
282.7778,282.7778,282.7778,47.9278,40.2278,40.2278,7.8247,7.8247,7.8247,8.4629,8.3319,8.3319,1
276.4444,276.4444,276.4444,49.8444,41.3944,41.3944,6.5006,6.5006,6.5006,8.2547,7.1092,7.1092,2
273.8889,273.8889,273.8889,48.7389,39.3389,39.3389,6.6116,6.6116,6.6116,7.7793,7.5703,7.5703,3
281.4444,281.4444,281.4444,50.6444,43.1944,43.1944,8.0078,8.0078,8.0078,8.6807,8.9105,8.9105,4
261.8889,261.8889,261.8889,34.6889,31.9889,31.9889,5.1304,5.1304,5.1304,5.9748,6.0961,6.0961,5
259.8889,259.8889,259.8889,40.0889,30.3889,30.3889,5.0372,5.0372,5.0372,6.5965,6.4282,6.4282,6
256.3333,256.3333,256.3333,36.8833,17.2333,17.2333,4.2310,4.2310,4.2310,5.4293,4.1072,4.1072,7
269.8889,269.8889,269.8889,46.3889,30.8889,30.8889,6.8358,6.8358,6.8358,8.4140,6.7356,6.7356,8
254.2222,254.2222,254.2222,28.3222,19.2722,19.2722,2.3559,2.3559,2.3559,3.1211,3.2911,3.2911,9
242.5556,242.5556,242.5556,15.5556,11.9056,11.9056,1.6359,1.6359,1.6359,2.7546,1.9802,1.9802,10
241.4444,241.4444,241.4444,22.7944,22.7444,22.7444,1.5825,1.5825,1.5825,3.4266,3.9014,3.9014,11
252.5556,252.5556,252.5556,24.8556,20.2556,20.2556,3.5445,3.5445,3.5445,4.0566,3.8793,3.8793,12
255.4444,255.4444,255.4444,31.9944,30.3444,30.3444,3.9309,3.9309,3.9309,5.3046,4.9749,4.9749,13
249.7778,249.7778,249.7778,24.0278,19.0778,19.0778,3.7706,3.7706,3.7706,4.2835,4.1613,4.1613,14
