,Frame,Intensity_Corrected,Intensity_Raw
0,0,0.5333,172.3333
1,1,4.7667,174.6667
2,2,1.9333,172.3333
3,3,8.35,175.0
4,4,-1.6722,172.7778
5,5,-5.6,162.0
6,6,6.8222,174.2222
7,7,5.75,169.0
8,8,-0.4667,165.3333
9,9,-0.0778,164.2222
10,10,6.0444,170.4444
11,11,10.2778,173.7778
12,12,4.6222,172.2222
13,13,3.9889,157.8889
14,14,1.6667,157.6667
15,15,-0.2778,158.2222
16,16,-9.9444,150.5556
17,17,3.3,161.0
18,18,2.9889,163.8889
19,19,-0.4278,159.2222
20,20,-1.7056,154.4444
21,21,0.0222,160.2222
22,22,-2.4444,161.5556
23,23,-7.1,156.0
24,24,0.4278,161.7778
25,25,5.7889,172.8889
26,26,-1.4056,158.4444
27,27,6.1111,168.1111
28,28,0.6389,169.8889
29,29,2.1222,166.2222
30,30,3.1333,166.3333
31,31,1.6167,161.6667
32,32,-0.5333,158.6667
33,33,8.0444,167.4444
34,34,-14.5056,149.4444
35,35,-0.9167,160.3333
36,36,-1.1056,158.4444
37,37,-0.7778,153.2222
38,38,7.6778,167.7778
39,39,-0.1667,159.3333
40,40,2.4667,164.6667
41,41,10.5833,164.3333
42,42,0.2333,158.3333
43,43,0.2222,157.2222
44,44,1.7111,160.1111
45,45,-4.9389,154.1111
46,46,-0.5833,157.6667
47,47,-8.9778,151.2222
48,48,-4.4222,155.7778
49,49,2.0389,157.8889
50,50,-1.5889,159.1111
51,51,-4.7611,157.8889
52,52,-6.3,155.0
53,53,4.6667,165.6667
54,54,-4.0833,151.6667
55,55,7.05,161.0
56,56,-1.8667,155.3333
57,57,-3.8778,154.2222
58,58,9.55,163.0
59,59,-1.7222,154.7778
60,60,2.1889,155.8889
61,61,5.1389,160.8889
62,62,-5.6167,155.3333
63,63,-6.2,153.0
64,64,-6.2778,151.2222
65,65,-10.6611,145.8889
66,66,-6.3389,148.1111
67,67,1.7333,157.3333
68,68,-3.9889,148.1111
69,69,4.2944,161.4444
70,70,-4.8722,150.7778
71,71,3.9444,159.4444
72,72,6.1,164.0
73,73,3.1056,158.5556
74,74,3.4167,157.6667
75,75,-0.9167,155.3333
76,76,5.0889,160.8889
77,77,5.15,165.0
78,78,-2.8333,155.6667
79,79,4.9,160.0
80,80,0.5167,152.6667
81,81,1.3444,160.4444
82,82,8.5222,166.2222
83,83,2.1389,158.8889
84,84,-4.6056,161.4444
85,85,7.5444,165.4444
86,86,1.1722,163.2222
87,87,4.4444,159.4444
88,88,-8.4778,151.2222
89,89,-7.9278,153.2222
90,90,-0.4056,165.4444
91,91,-6.4,157.0
92,92,-0.2778,153.2222
93,93,5.3167,159.6667
94,94,3.25,156.0
95,95,-1.0389,155.1111
96,96,-4.5056,152.4444
97,97,-6.9222,154.7778
98,98,3.9722,169.2222
99,99,0.6944,162.4444
100,100,-0.3667,160.3333
101,101,-5.3222,157.7778
102,102,-7.1278,152.2222
103,103,8.4,166.0
104,104,-4.1444,157.5556
105,105,5.7222,166.2222
106,106,8.3778,165.7778
107,107,4.8,161.0
108,108,1.3556,162.5556
109,109,-5.3278,153.2222
110,110,-3.3667,161.3333
111,111,4.6278,168.7778
112,112,7.9611,166.1111
113,113,3.8278,164.7778
114,114,2.3,155.0
115,115,2.6167,153.6667
116,116,-1.6722,156.7778
117,117,-10.5778,150.2222
118,118,3.2833,162.3333
119,119,2.8778,156.7778
120,120,4.2778,156.7778
121,121,-4.4111,152.8889
