Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
215.7778,215.7778,215.7778,19.9778,16.0278,16.0278,5.5142,5.5142,5.5142,4.6674,4.3114,4.3114,0
198.6667,198.6667,198.6667,6.3167,6.4667,6.4667,3.7770,3.7770,3.7770,2.8387,2.0258,2.0258,1
230.2222,230.2222,230.2222,37.5222,35.9722,35.9722,8.3175,8.3175,8.3175,7.3700,6.9102,6.9102,2
211.8889,211.8889,211.8889,18.9389,19.1389,19.1389,5.7902,5.7902,5.7902,4.8778,4.9282,4.9282,3
212.6667,212.6667,212.6667,28.0667,24.0167,24.0167,5.8547,5.8547,5.8547,5.5082,4.6301,4.6301,4
209.3333,209.3333,209.3333,13.5333,15.8333,15.8333,5.6712,5.6712,5.6712,4.5920,4.1892,4.1892,5
212.5556,212.5556,212.5556,30.5556,26.2056,26.2056,6.1305,6.1305,6.1305,6.2986,5.4818,5.4818,6
202.3333,202.3333,202.3333,8.3833,8.0833,8.0833,5.0440,5.0440,5.0440,3.4473,3.3549,3.3549,7
197.7778,197.7778,197.7778,6.8778,11.7278,11.7278,3.8975,3.8975,3.8975,3.1507,3.0631,3.0631,8
214.2222,214.2222,214.2222,27.7722,21.6222,21.6222,5.9396,5.9396,5.9396,5.2144,4.3254,4.3254,9
206.6667,206.6667,206.6667,17.0167,14.0167,14.0167,4.9369,4.9369,4.9369,3.5984,3.3563,3.3563,10
212.2222,212.2222,212.2222,18.3722,23.2222,23.2222,5.5971,5.5971,5.5971,4.0757,4.1782,4.1782,11
216.6667,216.6667,216.6667,27.8167,22.0667,22.0667,6.3922,6.3922,6.3922,5.5973,4.9728,4.9728,12
218.8889,218.8889,218.8889,31.7889,28.8389,28.8389,7.9195,7.9195,7.9195,6.5105,5.9654,5.9654,13
208.0000,208.0000,208.0000,20.4000,15.8000,15.8000,5.9389,5.9389,5.9389,4.9830,4.5171,4.5171,14
199.1111,199.1111,199.1111,17.1111,17.0111,17.0111,3.6857,3.6857,3.6857,3.1022,2.9022,2.9022,15
215.4444,215.4444,215.4444,27.6944,28.5444,28.5444,8.3654,8.3654,8.3654,7.7182,7.5728,7.5728,16
210.1111,210.1111,210.1111,23.4611,24.3611,24.3611,5.1169,5.1169,5.1169,4.6648,4.2450,4.2450,17
