Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
188.0000,188.0000,188.0000,9.1500,9.1500,9.1500,0.1366,0.1366,0.1366,1.2175,1.2175,1.2175,0
177.5556,177.5556,177.5556,2.0056,2.0056,2.0056,-2.2053,-2.2053,-2.2053,-1.1707,-1.1707,-1.1707,1
193.1111,193.1111,193.1111,9.9611,9.9611,9.9611,1.2180,1.2180,1.2180,1.8479,1.8479,1.8479,2
193.6667,193.6667,193.6667,24.4167,24.4167,24.4167,1.4729,1.4729,1.4729,3.5850,3.5850,3.5850,3
200.6667,200.6667,200.6667,18.1667,18.1667,18.1667,2.3396,2.3396,2.3396,2.9810,2.9810,2.9810,4
191.8889,191.8889,191.8889,11.5389,11.5389,11.5389,-0.1338,-0.1338,-0.1338,0.4203,0.4203,0.4203,5
200.2222,200.2222,200.2222,17.0222,17.0222,17.0222,1.4298,1.4298,1.4298,1.5593,1.5593,1.5593,6
194.3333,194.3333,194.3333,14.9833,14.9833,14.9833,0.4810,0.4810,0.4810,1.4383,1.4383,1.4383,7
195.3333,195.3333,195.3333,23.2333,23.2333,23.2333,0.8198,0.8198,0.8198,2.5158,2.5158,2.5158,8
199.7778,199.7778,199.7778,17.8778,17.8778,17.8778,1.3139,1.3139,1.3139,1.8723,1.8723,1.8723,9
188.5556,188.5556,188.5556,9.2056,9.2056,9.2056,-0.4431,-0.4431,-0.4431,0.4207,0.4207,0.4207,10
185.3333,185.3333,185.3333,-3.6667,-3.6667,-3.6667,-0.3997,-0.3997,-0.3997,-0.1783,-0.1783,-0.1783,11
187.3333,187.3333,187.3333,8.5833,8.5833,8.5833,-0.7351,-0.7351,-0.7351,0.1595,0.1595,0.1595,12
199.3333,199.3333,199.3333,22.4833,22.4833,22.4833,1.6169,1.6169,1.6169,2.8698,2.8698,2.8698,13
207.0000,207.0000,207.0000,19.8500,19.8500,19.8500,2.6811,2.6811,2.6811,2.8685,2.8685,2.8685,14
192.7778,192.7778,192.7778,5.6278,5.6278,5.6278,-0.3648,-0.3648,-0.3648,0.3228,0.3228,0.3228,15
207.4444,207.4444,207.4444,20.1444,20.1444,20.1444,2.2303,2.2303,2.2303,2.6569,2.6569,2.6569,16
200.6667,200.6667,200.6667,21.4667,21.4667,21.4667,1.0247,1.0247,1.0247,2.3450,2.3450,2.3450,17
197.7778,197.7778,197.7778,11.9278,11.9278,11.9278,0.8756,0.8756,0.8756,1.5216,1.5216,1.5216,18
193.5556,193.5556,193.5556,12.0056,12.0056,12.0056,0.9462,0.9462,0.9462,2.4056,2.4056,2.4056,19
193.5556,193.5556,193.5556,15.7556,15.7556,15.7556,1.2950,1.2950,1.2950,2.5282,2.5282,2.5282,20
191.4444,191.4444,191.4444,12.3944,12.3944,12.3944,0.1914,0.1914,0.1914,1.2317,1.2317,1.2317,21
190.0000,190.0000,190.0000,10.3500,10.3500,10.3500,0.2304,0.2304,0.2304,0.7957,0.7957,0.7957,22
197.6667,197.6667,197.6667,15.1167,15.1167,15.1167,0.6490,0.6490,0.6490,1.4865,1.4865,1.4865,23
188.8889,188.8889,188.8889,14.1389,14.1389,14.1389,0.9134,0.9134,0.9134,2.4494,2.4494,2.4494,24
200.6667,200.6667,200.6667,18.4667,18.4667,18.4667,1.4602,1.4602,1.4602,2.5183,2.5183,2.5183,25
180.8889,180.8889,180.8889,-0.6111,-0.6111,-0.6111,-1.5633,-1.5633,-1.5633,-1.0988,-1.0988,-1.0988,26
199.7778,199.7778,199.7778,20.1778,20.1778,20.1778,1.5638,1.5638,1.5638,3.0361,3.0361,3.0361,27
211.1111,211.1111,211.1111,31.7611,31.7611,31.7611,4.1813,4.1813,4.1813,4.7739,4.7739,4.7739,28
194.1111,195.2222,195.2222,16.2111,17.3222,17.3222,0.6176,0.4813,0.4813,1.2203,1.0840,1.0840,29
195.3333,193.7778,193.7778,7.0333,5.4778,5.4778,-1.1493,-0.4058,-0.4058,-0.5246,0.2189,0.2189,30
198.8889,198.8889,198.8889,16.1389,16.1389,16.1389,1.2108,1.6954,1.6954,2.2163,2.7009,2.7009,31
207.8889,207.8889,207.8889,24.7889,24.7889,24.7889,3.0783,3.0783,3.0783,4.2552,4.2552,4.2552,32
192.7778,192.7778,192.7778,13.1778,13.1778,13.1778,1.0937,1.0937,1.0937,1.8761,1.8761,1.8761,33
212.3333,212.3333,212.3333,14.0833,25.7333,25.7333,3.7234,3.7234,3.7234,2.9173,4.1068,4.1068,34
